"","x","y","land","built_s","built_v","pop","smod_10","smod_11","smod_12","smod_13","smod_21","smod_22","smod_23","smod_30"
"204",359000,1369000,1e+06,2538.18,6347.23,4120.78395133838,0,83,14,3,0,0,0,0
"205",99000,1359000,995909.25,4583.64,11695.15,6548.62615859136,0,84,12,4,0,0,0,0
"206",109000,1359000,995406.48,7.94,19.93,10.6506763678044,0,100,0,0,0,0,0,0
"207",119000,1359000,1e+06,4.72,11.89,4.37572538666427,0,100,0,0,0,0,0,0
"208",129000,1359000,1e+06,7.22,18.14,6.6758332606405,0,100,0,0,0,0,0,0
"209",139000,1359000,1e+06,3.06,7.67,2.8226924687624,0,100,0,0,0,0,0,0
"210",149000,1359000,1e+06,6.28,15.79,5.81099264882505,0,100,0,0,0,0,0,0
"211",159000,1359000,1e+06,1.21,3.04,1.11877248622477,0,100,0,0,0,0,0,0
"212",169000,1359000,999089.45,0,0,0,0,100,0,0,0,0,0,0
"213",179000,1359000,999760.85,78.38,354.83,161.319785729051,0,99,1,0,0,0,0,0
"214",189000,1359000,1e+06,1221.09,4261,1937.21957166493,0,97,2,1,0,0,0,0
"215",199000,1359000,1e+06,4232.07,12172.92,5534.29211448878,0,77,21,2,0,0,0,0
"216",209000,1359000,998339.02,1792.81,4484.8,2038.96791568398,0,90,10,0,0,0,0,0
"217",219000,1359000,999743.65,4617.39,11751.42,5410.28231712431,0,68,31,1,0,0,0,0
"218",229000,1359000,1e+06,5285.75,13219.24,6414.53771129623,0,55,45,0,0,0,0,0
"219",239000,1359000,999951.41,2699.48,6751.27,3151.9418127723,0,80,19,1,0,0,0,0
"220",249000,1359000,997814.93,1090.39,2728.53,1156.43617157079,0,98,2,0,0,0,0,0
"221",259000,1359000,1e+06,2322.19,5841.97,2442.39187763818,0,90,10,0,0,0,0,0
"222",269000,1359000,1e+06,8311.29,29340.05,14405.0883614477,0,56,37,3,3,0,1,0
"223",279000,1359000,1e+06,13142.34,35522.66,17256.1645818837,0,23,64,13,0,0,0,0
"224",289000,1359000,998952.63,5484.9,15721.23,7213.14944088179,0,72,25,3,0,0,0,0
"225",299000,1359000,998885.89,1211.57,3797.11,1835.71414823644,0,94,5,1,0,0,0,0
"226",309000,1359000,1e+06,2607.67,6576.57,3122.03190471139,0,88,10,2,0,0,0,0
"227",319000,1359000,998895.73,410.44,1026.36,498.144963455387,0,97,3,0,0,0,0,0
"228",329000,1359000,1e+06,732.53,1831.97,1211.09225146472,0,98,1,1,0,0,0,0
"229",339000,1359000,1e+06,2862.19,7156.93,4422.77818067558,0,87,8,5,0,0,0,0
"230",349000,1359000,1e+06,1839.1,4599.58,2872.68568023667,0,89,10,1,0,0,0,0
"231",359000,1359000,999485.3,1231.56,3080.99,1929.5712354295,0,90,10,0,0,0,0,0
"232",99000,1349000,999006.6,3398.61,8499.62,4739.74034486339,0,81,15,4,0,0,0,0
"233",109000,1349000,998876.16,898.33,2246.56,1257.60195294209,0,97,2,1,0,0,0,0
"234",119000,1349000,999878.88,3.48,8.73,3.21279074810445,0,100,0,0,0,0,0,0
"235",129000,1349000,1e+06,1.86,4.67,1.71864063292742,0,100,0,0,0,0,0,0
"236",139000,1349000,1e+06,3.76,9.42,3.46672266721725,0,100,0,0,0,0,0,0
"237",149000,1349000,1e+06,611.95,2478.13,911.994639737532,0,99,0,1,0,0,0,0
"238",159000,1349000,1e+06,3.47,8.71,3.20543038845062,0,100,0,0,0,0,0,0
"239",169000,1349000,1e+06,0.72,1.81,0.702901104465127,0,100,0,0,0,0,0,0
"240",179000,1349000,1e+06,173.87,435.29,197.900093965232,0,100,0,0,0,0,0,0
"241",189000,1349000,1e+06,6565.63,30842.99,13990.7443085536,0,88,6,0,3,0,3,0
"242",199000,1349000,1e+06,1436.08,3593.05,1633.54300546646,0,94,6,0,0,0,0,0
"243",209000,1349000,998560.6,1186.29,2970.51,1350.51163476706,0,95,5,0,0,0,0,0
"244",219000,1349000,1e+06,3160.13,9136.56,4153.84246765077,0,90,7,3,0,0,0,0
"245",229000,1349000,1e+06,2069.62,5176.92,2233.50624449737,0,88,12,0,0,0,0,0
"246",239000,1349000,999672.19,955.39,2390.12,996.507848059758,0,97,3,0,0,0,0,0
"247",249000,1349000,998944.87,670.98,1679.56,700.196631422266,0,99,1,0,0,0,0,0
"248",259000,1349000,1e+06,1575.97,3943.8,1644.14220373146,0,95,5,0,0,0,0,0
"249",269000,1349000,1e+06,7236.6,23792.07,10805.6251710523,0,74,20,6,0,0,0,0
"250",279000,1349000,1e+06,7286.63,18223.38,8057.10461235605,0,51,47,2,0,0,0,0
"251",289000,1349000,1e+06,3419.71,8553.03,3559.08552181162,0,79,21,0,0,0,0,0
"252",299000,1349000,1e+06,1996.09,4992.47,2063.13766127452,0,88,12,0,0,0,0,0
"253",309000,1349000,999729.1,978.53,3353.57,1423.00791097153,0,96,3,1,0,0,0,0
"254",319000,1349000,998315.95,379.59,949.51,471.921703898347,0,97,3,0,0,0,0,0
"255",329000,1349000,1e+06,2329.19,5824.61,3593.49280552566,0,84,14,2,0,0,0,0
"256",339000,1349000,1e+06,2024.8,5180.47,3408.00635656528,0,84,16,0,0,0,0,0
"257",349000,1349000,1e+06,3489.36,10740.33,7044.20657971502,0,86,9,5,0,0,0,0
"258",359000,1349000,999306.49,2230.76,8411.72,5554.35546064191,0,93,6,1,0,0,0,0
"259",369000,1349000,1e+06,10447.36,44564.27,29185.0107946824,0,80,13,0,2,0,5,0
"260",99000,1339000,1e+06,9708.16,30599.23,17131.1672401913,0,47,48,2,1,0,2,0
"261",109000,1339000,999996.98,6453.59,17844.79,9991.66817295551,0,73,13,12,1,0,1,0
"262",119000,1339000,1e+06,60.75,152.2,85.2199382968247,0,100,0,0,0,0,0,0
"263",129000,1339000,1e+06,0.49,1.23,0.452661246061325,0,100,0,0,0,0,0,0
"264",139000,1339000,1e+06,365.36,1107.37,407.531280506403,0,98,2,0,0,0,0,0
"265",149000,1339000,1e+06,3208.18,9682.99,3563.50752625055,0,91,5,4,0,0,0,0
"266",159000,1339000,1e+06,83.95,378.47,150.179420530796,0,99,1,0,0,0,0,0
"267",169000,1339000,1e+06,183.64,566.4,226.486956700683,0,99,1,0,0,0,0,0
"268",179000,1339000,1e+06,1579.33,6369.07,2553.74156485498,0,95,3,2,0,0,0,0
"269",189000,1339000,1e+06,3629.83,10298.75,4653.11819469929,0,83,15,2,0,0,0,0
"270",199000,1339000,999214.46,2320.21,5803.4,2632.03170098364,0,81,19,0,0,0,0,0
"271",209000,1339000,999275.86,14404.04,69170.38,31417.8276566863,0,69,22,0,4,0,5,0
"272",219000,1339000,1e+06,2642.57,6932.66,3151.86214406788,0,82,17,1,0,0,0,0
"273",229000,1339000,1e+06,445.88,1116.3,465.890144016594,0,100,0,0,0,0,0,0
"274",239000,1339000,1e+06,768.49,1922.74,801.576646583155,0,98,2,0,0,0,0,0
"275",249000,1339000,998458.41,670.3,1677.51,699.342004217207,0,97,3,0,0,0,0,0
"276",259000,1339000,1e+06,1145.75,2965.73,1236.39176934958,0,95,5,0,0,0,0,0
"277",269000,1339000,1e+06,9355.61,30955.19,12904.9987543467,0,66,27,4,1,0,2,0
"278",279000,1339000,1e+06,17064.09,68452.6,28525.0167181734,0,58,28,1,4,5,4,0
"279",289000,1339000,1e+06,3069.8,7677.7,3200.77858519368,0,71,29,0,0,0,0,0
"280",299000,1339000,1e+06,1390.27,3477.93,1449.92431055568,0,93,7,0,0,0,0,0
"281",309000,1339000,998627.19,66.83,167.31,69.7503510396928,0,100,0,0,0,0,0,0
"282",319000,1339000,998911.04,52.33,131.17,83.0120582152158,0,100,0,0,0,0,0,0
"283",329000,1339000,1e+06,1925,6087.81,4002.52343331091,0,88,10,2,0,0,0,0
"284",339000,1339000,1e+06,2786.06,10757.3,7114.24350095354,0,90,7,0,0,3,0,0
"285",349000,1339000,1e+06,2077.09,6167.65,3947.38810354471,0,91,5,4,0,0,0,0
"286",359000,1339000,1e+06,764.18,1911.81,1261.72998599708,0,93,7,0,0,0,0,0
"287",369000,1339000,999796.17,2309.62,5776.84,3695.37316929828,0,81,19,0,0,0,0,0
"288",89000,1329000,1e+06,6599.28,24078.72,13645.2340043522,0,80,13,2,4,0,1,0
