"","x","y","land","built_s","built_v","pop","smod.10","smod.11","smod.12","smod.13","smod.21","smod.22","smod.23","smod.30","SCHOOLS"
"10255",-912000,1330000,987517.19,3488.83,8772.81,7462.99278893508,0,85,8,4,0,3,0,0,"0"
"10256",-902000,1330000,1e+06,52.94,132.75,110.968030344695,0,100,0,0,0,0,0,0,"0"
"10257",-892000,1330000,1e+06,1576.83,4999.79,2737.2601662334,0,92,7,1,0,0,0,0,"0"
"10258",-882000,1330000,998870.48,3655.88,15767.05,8632.06618640571,0,88,10,0,1,0,1,0,"0"
"10259",-872000,1330000,999735.04,4122.68,16377.29,9713.36423685401,0,92,2,3,0,0,3,0,"0"
"10260",-862000,1330000,995641.18,1527.25,3819.12,2265.2144879885,0,92,7,1,0,0,0,0,"0"
"10261",-852000,1330000,994877.68,934,2486.25,1892.47175179794,0,95,4,1,0,0,0,0,"0"
"10262",-842000,1330000,1e+06,1636.19,5062.65,4957.35766560212,0,93,3,4,0,0,0,0,"0"
"10263",-832000,1330000,1e+06,604.8,1512.36,1551.84839271381,0,98,0,2,0,0,0,0,"0"
"10264",-1452000,1320000,632555.22,10337.91,74031.81,29169.3698673071,30,59,5,0,0,0,0,6,"1"
"10265",-1442000,1320000,914214.72,30525.77,169980.63,66121.6212872025,5,50,22,0,11,0,0,12,"1"
"10266",-1432000,1320000,996394.59,6282.68,15709.43,8558.43165333197,0,52,47,1,0,0,0,0,"0"
"10267",-1422000,1320000,999085.02,4910.91,13644.38,14329.2841266245,0,64,24,3,0,9,0,0,"1"
"10268",-1412000,1320000,994841.56,776.02,1940.5,1586.36920111626,0,90,10,0,0,0,0,0,"0"
"10269",-1402000,1320000,998712.18,1334.23,3336.47,2716.22542582266,0,82,18,0,0,0,0,0,"0"
"10270",-1392000,1320000,1e+06,2139.79,5350.22,4264.96025645733,0,78,19,3,0,0,0,0,"0"
"10271",-1382000,1320000,999790.01,757.64,1894.62,2414.73553269543,0,85,15,0,0,0,0,0,"0"
"10272",-1372000,1320000,999605.42,218.41,546.25,474.901566479355,0,97,3,0,0,0,0,0,"0"
"10273",-1362000,1320000,998589.66,727.83,1820.08,1384.41039162315,0,91,9,0,0,0,0,0,"0"
"10274",-1352000,1320000,996454.03,947.16,2368.53,2149.8224795647,0,93,6,1,0,0,0,0,"0"
"10275",-1342000,1320000,999666.98,897.19,2243.65,2322.76849207282,0,84,16,0,0,0,0,0,"0"
"10276",-1332000,1320000,1e+06,1438.31,3596.55,3455.39483386278,0,79,21,0,0,0,0,0,"0"
"10277",-1322000,1320000,1e+06,840.9,2102.66,1820.15172325447,0,89,11,0,0,0,0,0,"0"
"10278",-1312000,1320000,1e+06,1741.17,4353.56,3904.25800134614,0,81,16,3,0,0,0,0,"0"
"10279",-1302000,1320000,1e+06,2194.48,5487.04,3147.79340964928,0,79,21,0,0,0,0,0,"0"
"10280",-1292000,1320000,1e+06,5580.55,13996.28,7498.66124988906,0,64,35,0,0,1,0,0,"0"
"10281",-1282000,1320000,990853.47,6975.93,19773.77,11090.0948115289,0,63,29,4,0,4,0,0,"0"
"10282",-1272000,1320000,989049.75,2452.1,6131.79,3818.30083386227,0,82,17,0,0,1,0,0,"0"
"10283",-1262000,1320000,998664.09,964.71,2412.35,1502.1841920279,0,92,7,1,0,0,0,0,"0"
"10284",-1252000,1320000,999952.44,1637.25,4094.04,2420.64775439911,0,87,11,2,0,0,0,0,"0"
"10285",-1242000,1320000,999782.47,2167.63,6667.03,1561.90357820317,0,93,6,1,0,0,0,0,"0"
"10286",-1232000,1320000,993171.98,3169.78,7925.94,3583.99563026056,0,73,27,0,0,0,0,0,"0"
"10287",-1222000,1320000,999353.21,5786.65,14820.85,5297.66752077406,0,62,37,1,0,0,0,0,"0"
"10288",-1212000,1320000,999468.04,25432.23,129076.16,24560.540964399,0,42,48,1,5,0,4,0,"1"
"10289",-1202000,1320000,1e+06,4527.06,11320.01,4661.50356485695,0,69,29,1,0,1,0,0,"0"
"10290",-1192000,1320000,999814.93,11016.08,29765.23,12705.8701828569,0,53,37,4,0,6,0,0,"0"
